probe	geneSymbol	geneEntrezID	moduleColor
242697_at	ZNF540	163255	antiquewhite2
208562_s_at	ABCC9	10060	antiquewhite2
214971_s_at	ST6GAL1	6480	antiquewhite2
214231_s_at	VWA8	23078	antiquewhite2
216834_at	RGS1	5996	antiquewhite2
1555259_at	ZAK	51776	antiquewhite2
213438_at	NFASC	23114	antiquewhite2
231578_at	GBP1	2633	antiquewhite2
240282_at	WDR1	9948	antiquewhite2
1555751_a_at	GEMIN7	79760	antiquewhite2
233851_s_at	TOR3A	64222	antiquewhite2
224924_at	TTC7A	57217	antiquewhite2
213765_at	MFAP5	8076	antiquewhite2
230281_at	C16orf46	123775	antiquewhite2
217596_at	UPF3A	65110	antiquewhite2
221795_at	NTRK2	4915	antiquewhite2
1557116_at	APOL6	80830	antiquewhite2
218927_s_at	CHST12	55501	antiquewhite2
221087_s_at	APOL3	80833	antiquewhite2
235885_at	P2RY12	64805	antiquewhite2
202074_s_at	OPTN	10133	antiquewhite2
223603_at	RNF112	7732	antiquewhite2
219496_at	SOWAHC	65124	antiquewhite2
211368_s_at	CASP1	834	antiquewhite2
1552542_s_at	TAGAP	117289	antiquewhite2
1554450_s_at	MIER3	166968	antiquewhite2
235175_at	GBP4	115361	antiquewhite2
203268_s_at	DRG2	1819	antiquewhite2
202995_s_at	FBLN1	2192	antiquewhite2
208335_s_at	ACKR1	2532	antiquewhite2
205796_at	TCP11L1	55346	antiquewhite2
218756_s_at	DHRS11	79154	antiquewhite2
213661_at	PAMR1	25891	antiquewhite2
201093_x_at	SDHA	6389	antiquewhite2
210764_s_at	CYR61	3491	antiquewhite2
218062_x_at	CDC42EP4	23580	antiquewhite2
223145_s_at	AKIRIN2	55122	antiquewhite2
209546_s_at	APOL1	8542	antiquewhite2
210163_at	CXCL11	6373	antiquewhite2
217232_x_at	HBB	3043	antiquewhite2
209204_at	LMO4	8543	antiquewhite2
201457_x_at	BUB3	9184	antiquewhite2
227375_at	ANKRD13C	81573	antiquewhite2
223386_at	FAM118B	79607	antiquewhite2
219544_at	BORA	79866	antiquewhite2
204070_at	RARRES3	5920	antiquewhite2
223129_x_at	MYLIP	29116	antiquewhite2
200629_at	WARS	7453	antiquewhite2
200881_s_at	DNAJA1	3301	antiquewhite2
211136_s_at	CLPTM1	1209	antiquewhite2
201800_s_at	OSBP	5007	antiquewhite2
