"antiquewhite2"	"black"	"blue"	"blue4"	"blueviolet"	"brown"	"coral"	"coral3"	"cyan"	"darkgreen"	"darkgrey"	"darkmagenta"	"darkolivegreen"	"darkolivegreen2"	"darkorange"	"darkred"	"darkseagreen3"	"darkturquoise"	"deeppink"	"firebrick3"	"green"	"greenyellow"	"grey"	"grey60"	"honeydew"	"indianred3"	"lavenderblush2"	"lightblue4"	"lightcyan"	"lightcyan1"	"lightgreen"	"lightpink2"	"lightpink3"	"lightslateblue"	"lightsteelblue1"	"lightyellow"	"magenta"	"magenta3"	"magenta4"	"mediumpurple1"	"mediumpurple3"	"mediumpurple4"	"midnightblue"	"navajowhite"	"navajowhite1"	"orange"	"orangered1"	"orangered4"	"paleturquoise"	"palevioletred1"	"palevioletred2"	"pink"	"pink4"	"plum1"	"plum4"	"purple"	"red"	"royalblue"	"saddlebrown"	"salmon"	"salmon1"	"salmon2"	"sienna3"	"sienna4"	"skyblue"	"skyblue3"	"skyblue4"	"steelblue"	"tan"	"tan4"	"thistle"	"thistle3"	"thistle4"	"turquoise"	"violet"	"white"	"yellow"	"yellow3"	"yellowgreen"
"1"	163255	2783	84959	2185	26032	79612	7862	10409	101929497	8938	22808	23014	9510	25804	91156	8837	9578	54885	23304	29796	54495	64641	91607	64710	64420	3183	7205	11329	10228	79924	55159	29855	1434	10056	133746	26984	199692	29911	2200	11212	100009676	9830	8503	387751	118490	102724312	57486	8774	51678	10577	79444	79753	122622	80306	58526	54918	340526	642477	56654	100288198	56204	80267	3092	55149	26090	6334	4237	23065	11067	3693	3074	55084	8539	666	2817	1466	64320	64326	51661
"2"	10060	9948	54520	10312	92597	9650	9039	387921	3364	2275	287	5054	10800	951	9789	55668	55697	10010	100128071	29087	7528	660	10302	6259	4733	55000	51637	197135	8487	9584	10999	84955	84056	55676	83891	84140	3514	25854	114991	284119	26127	5269	51095	1521	10217	55840	23428	382	154661	55254	84326	388963	23307	54674	9616	9121	9267	7707	323	29774	10923	51755	9061	79582	6314	29116	255877	8543	84920	2013	221656	25827	114548	51501	5301	145820	2841	55728	1428
"3"	6480	134492	80856	254102	642273	7376	1734	9575	28962	2186	57545	729678	7357	6850	155185	1112	30844	120103	1837	1716	55959	2736	800	51643	79036	11183	56945	51351	25912	51065	9051	138639	23554	23216	7543	901	50809	6391	54892	79876	23271	79109	26097	6375	28969	80315	51274	6160	80127	3140	84083	56892	84868	1174	66004	966	10480	57095	414	8347	2071	55706	23135	83594	1639	28831	5532	7520	142680	79846	529	23556	8462	57484	221981	6775	917	3716	7779
"4"	23078	81545	6256	55813	56898	8030	6884	83861	124976	58487	4012	840	55244	374291	23505	55080	9352	7182	7874	51649	4012	6095	64743	2119	55002	84552	57563	11165	22908	100133941	84814	23355	11341	9361	134359	7991	148254	171017	91750	79932	10435	8673	11164	130916	6152	6480	11060	115572	51374	90271	10109	286144	285282	5928	56172	219854	4515	782	124401	55668	6654	331	6905	64802	1748	7137	22890	79180	10605	51661	29780	165324	65084	7752	9620	79812	11273	9658	11057
"5"	5996	10422	645	51368	6876	813	26276	102606465	5277	5255	54954	125228	729359	101929145	51011	2877	92399	55893	285172	51255	222236	518	8935	56172	9470	8027	54542	3094	54800	645513	91445	9638	11321	6834	23410	54790	128308	10128	4358	9532	4212	6275	1487	84174	284252	399	55160	29083	25820	51654	126075	5981	56172	6397	60	83449	219771	3797	89941	258010	23528	90634	124801	53981	55218	5128	79677	5910	80760	23677	55313	170690	1490	130872	63894	9695	1523	261726	6368
"6"	51776	60	22826	6338	59338	10175	79627	51699	51592	6790	11031	3920	8639	26469	1647	51427	51091	5058	145748	23564	3275	85453	25842	219771	51260	50810	23658	167227	253725	2186	619426	2744	55194	55902	134265	84188	819	1488	54968	2801	6009	51335	51000	64065	2003	22882	7421	149603	100506233	3420	79178	11076	4688	114803	7421	408	148189	92270	813	11340	22863	54764	283459	160364	3752	23002	81539	3690	8303	28831	6520	2618	79794	9588	2671	81539	8869	51626	140885
"7"	23114	4924	441024	219833	26575	54434	4267	414777	1810	26148	558	151194	92293	3608	2487	342357	113	3714	84859	10039	84958	1215	6556	90187	6277	84068	51691	55196	439911	441027	220988	10923	140576	1201	4189	55781	29072	2948	100996251	23613	3005	90411	7357	10329	23170	3112	57050	10691	286451	9654	6838	9194	27440	25957	440348	10170	7029	6509	9577	10240	55677	50618	81876	55313	8396	81563	79971	117245	27297	91179	5660	23060	51729	100506421	283860	29909	29760	8269	113201
"8"	2633	6827	5990	23636	5783	8546	9855	100306951	168850	25898	7567	26157	3991	2130	7844	3014	112616	83695	338	51728	5116	89797	80232	80005	84898	135228	2235	26051	284391	266917	147965	84168	153339	63940	8651	7486	285440	8800	79822	79631	1173	7805	375033	7443	56623	130916	91662	6541	51263	10137	126364	23417	10971	3400	10780	11010	147179	54585	118460	283987	8648	7514	6566	63826	55095	57631	5274	57129	100506691	84343	10128	163590	84259	401505	23256	64221	54984	80314	128977
"9"	9948	5601	79712	51343	93986	9166	23657	140890	2281	201562	54828	1161	5166	10238	3117	3292	26523	55312	10683	23383	79786	83999	775	23522	55361	6095	3836	253635	9941	9953	146198	4241	8859	54981	4739	8887	25962	64419	28778	81931	55361	64771	1317	27334	5872	23347	80381	9101	7803	55662	7384	9619	1687	80207	6415	84284	6046	493869	55049	91	91319	2123	7529	26191	284001	79158	134957	23038	4299	7182	9046	55556	9611	114971	79853	206338	166824	5205	6731
"10"	79760	376940	64092	5269	101929112	7204	27246	159090	145173	7307	100505876	401320	56929	140739	199745	405	11212	65056	23389	403	134549	4683	115207	79959	137886	4969	11031	5336	9043	22824	51428	10749	7004	92105	387895	26238	55471	7275	81610	4926	80031	55315	6330	3932	6320	55208	2509	7171	84312	5337	84065	11335	6990	9517	158471	26027	51347	6659	30834	26231	8202	10672	2542	9926	339263	80830	8440	84883	27107	1329	54458	10250	7114	4292	843	26051	3419	23291	230
"11"	64222	3916	10811	3635	29969	8992	79411	23326	57496	205717	6001	100287166	7069	412	3017	257106	51018	2936	11214	5188	1390	4635	11336	64924	23564	56243	7411	57658	55298	57657	57140	54674	23641	56882	3537	79817	100289635	57226	991	53349	9453	1544	4899	330	10491	1303	58480	89782	6474	10062	83394	1577	151195	9819	5986	4707	26574	84851	51035	9755	10806	22832	817	1604	348801	2334	5723	967	51277	1213	51225	79718	26578	7329	338324	8412	3782	9372	79868
