"antiquewhite2"	"black"	"blue"	"blue4"	"blueviolet"	"brown"	"coral"	"coral3"	"cyan"	"darkgreen"	"darkgrey"	"darkmagenta"	"darkolivegreen"	"darkolivegreen2"	"darkorange"	"darkred"	"darkseagreen3"	"darkturquoise"	"deeppink"	"firebrick3"	"green"	"greenyellow"	"grey"	"grey60"	"honeydew"	"indianred3"	"lavenderblush2"	"lightblue4"	"lightcyan"	"lightcyan1"	"lightgreen"	"lightpink2"	"lightpink3"	"lightslateblue"	"lightsteelblue1"	"lightyellow"	"magenta"	"magenta3"	"magenta4"	"mediumpurple1"	"mediumpurple3"	"mediumpurple4"	"midnightblue"	"navajowhite"	"navajowhite1"	"orange"	"orangered1"	"orangered4"	"paleturquoise"	"palevioletred1"	"palevioletred2"	"pink"	"pink4"	"plum1"	"plum4"	"purple"	"red"	"royalblue"	"saddlebrown"	"salmon"	"salmon1"	"salmon2"	"sienna3"	"sienna4"	"skyblue"	"skyblue3"	"skyblue4"	"steelblue"	"tan"	"tan4"	"thistle"	"thistle3"	"thistle4"	"turquoise"	"violet"	"white"	"yellow"	"yellow3"	"yellowgreen"
"1"	"242697_at"	"200852_x_at"	"238462_at"	"203110_at"	"214954_at"	"1555450_a_at"	"204481_at"	"202391_at"	"1554225_a_at"	"216356_x_at"	"225185_at"	"212229_s_at"	"222486_s_at"	"202736_s_at"	"1563098_at"	"209939_x_at"	"217849_s_at"	"219771_at"	"212756_s_at"	"218190_s_at"	"225302_at"	"220392_at"	"226743_at"	"226880_at"	"226264_at"	"200014_s_at"	"209129_at"	"202951_at"	"244041_at"	"220538_at"	"218564_at"	"209088_s_at"	"201112_s_at"	"223035_s_at"	"241985_at"	"218703_at"	"224492_s_at"	"218780_at"	"202766_s_at"	"209385_s_at"	"232259_s_at"	"203148_s_at"	"202743_at"	"220577_at"	"241793_at"	"243021_at"	"225943_at"	"210048_at"	"205429_s_at"	"200701_at"	"220451_s_at"	"219409_at"	"226325_at"	"224416_s_at"	"218251_at"	"227953_at"	"227823_at"	"1558139_at"	"218086_at"	"1559404_a_at"	"225327_at"	"220926_s_at"	"205425_at"	"222794_x_at"	"228124_at"	"1561820_at"	"203417_at"	"212395_s_at"	"209182_s_at"	"214021_x_at"	"201944_at"	"218974_at"	"214959_s_at"	"223349_s_at"	"202755_s_at"	"207030_s_at"	"218861_at"	"234950_s_at"	"223667_at"
"2"	"208562_s_at"	"200609_s_at"	"219774_at"	"204158_s_at"	"225997_at"	"203207_s_at"	"209115_at"	"236953_s_at"	"217618_x_at"	"218818_at"	"202920_at"	"202628_s_at"	"231747_at"	"204192_at"	"201239_s_at"	"229520_s_at"	"216407_at"	"209451_at"	"228451_at"	"223711_s_at"	"224711_at"	"206464_at"	"213203_at"	"202853_s_at"	"202810_at"	"228397_at"	"217768_at"	"230753_at"	"205063_at"	"226404_at"	"225779_at"	"225438_at"	"227713_at"	"226161_at"	"1555388_s_at"	"242584_at"	"215217_at"	"214890_s_at"	"226590_at"	"1557938_s_at"	"243619_at"	"231628_s_at"	"222754_at"	"214450_at"	"201904_s_at"	"219551_at"	"216092_s_at"	"224788_at"	"241703_at"	"241392_at"	"227378_x_at"	"236070_at"	"76897_s_at"	"209840_s_at"	"218286_s_at"	"206600_s_at"	"202880_s_at"	"203318_s_at"	"212970_at"	"222253_s_at"	"214512_s_at"	"225690_at"	"209043_at"	"219109_at"	"209964_s_at"	"220319_s_at"	"228311_at"	"227155_at"	"1552306_at"	"225079_at"	"227021_at"	"214436_at"	"207075_at"	"230326_s_at"	"207582_at"	"1558881_at"	"210279_at"	"228242_at"	"205489_at"
"3"	"214971_s_at"	"226642_s_at"	"225718_at"	"91703_at"	"226863_at"	"218215_s_at"	"203700_s_at"	"225856_at"	"235198_at"	"230056_at"	"234936_s_at"	"1556180_at"	"204881_s_at"	"209269_s_at"	"1561179_s_at"	"205022_s_at"	"237097_at"	"234978_at"	"210736_x_at"	"203816_at"	"224724_at"	"228537_at"	"214880_x_at"	"222845_x_at"	"200076_s_at"	"203552_at"	"228059_x_at"	"207605_x_at"	"1555225_at"	"218007_s_at"	"211178_s_at"	"238841_at"	"230626_at"	"212350_at"	"214678_x_at"	"202769_at"	"229204_at"	"238191_at"	"219588_s_at"	"222578_s_at"	"212763_at"	"217808_s_at"	"202559_x_at"	"206366_x_at"	"217809_at"	"224831_at"	"222913_at"	"200962_at"	"220173_at"	"235352_at"	"239538_at"	"218541_s_at"	"1554285_at"	"205196_s_at"	"226305_at"	"200983_x_at"	"202232_s_at"	"229856_s_at"	"223695_s_at"	"236193_at"	"202176_at"	"218073_s_at"	"1556067_a_at"	"223535_at"	"211780_x_at"	"216852_x_at"	"209817_at"	"208642_s_at"	"1552510_at"	"1554919_s_at"	"208678_at"	"219048_at"	"218486_at"	"236038_at"	"214920_at"	"206118_at"	"206804_at"	"239695_at"	"228181_at"
"4"	"214231_s_at"	"224369_s_at"	"202426_s_at"	"218715_at"	"235155_at"	"204716_at"	"227278_at"	"229810_at"	"225671_at"	"202978_s_at"	"231866_at"	"207181_s_at"	"219525_at"	"211752_s_at"	"212507_at"	"218746_at"	"235561_at"	"206038_s_at"	"201499_s_at"	"223156_at"	"225176_at"	"235567_at"	"222138_s_at"	"230102_at"	"226050_at"	"227204_at"	"242648_at"	"211976_at"	"202797_at"	"208651_x_at"	"224506_s_at"	"1559500_at"	"205475_at"	"209017_s_at"	"227267_at"	"209227_at"	"239839_at"	"212369_at"	"228583_at"	"217929_s_at"	"209850_s_at"	"202546_at"	"222824_at"	"1557966_x_at"	"214143_x_at"	"201998_at"	"1552737_s_at"	"229518_at"	"219329_s_at"	"232230_at"	"207988_s_at"	"225603_s_at"	"226089_at"	"237333_at"	"229176_at"	"235654_at"	"244790_at"	"206996_x_at"	"227303_at"	"239478_x_at"	"212780_at"	"228363_at"	"203715_at"	"223692_at"	"208216_at"	"205742_at"	"205092_x_at"	"222483_at"	"210283_x_at"	"231130_at"	"216253_s_at"	"228605_at"	"222209_s_at"	"207338_s_at"	"41660_at"	"236262_at"	"207798_s_at"	"203604_at"	"228490_at"
"5"	"216834_at"	"202151_s_at"	"202201_at"	"233350_s_at"	"226523_at"	"200756_x_at"	"44111_at"	"232589_at"	"205281_s_at"	"229876_at"	"229512_at"	"235022_at"	"228409_at"	"235772_at"	"235621_at"	"239595_at"	"225126_at"	"218149_s_at"	"1554178_a_at"	"223064_at"	"226041_at"	"228168_at"	"225639_at"	"223092_at"	"209393_s_at"	"203544_s_at"	"220201_at"	"1555960_at"	"226158_at"	"1561760_s_at"	"224750_at"	"203562_at"	"209313_at"	"204295_at"	"49327_at"	"235461_at"	"227024_s_at"	"1557360_at"	"203466_at"	"230879_at"	"207480_s_at"	"203186_s_at"	"213980_s_at"	"232234_at"	"226246_at"	"236293_at"	"1570511_at"	"221046_s_at"	"201881_s_at"	"218315_s_at"	"227043_at"	"209085_x_at"	"223094_s_at"	"202082_s_at"	"213867_x_at"	"221022_s_at"	"224651_at"	"203389_at"	"65770_at"	"230006_s_at"	"218401_s_at"	"213375_s_at"	"212532_s_at"	"225994_at"	"218363_at"	"206474_at"	"218781_at"	"237856_at"	"219064_at"	"222258_s_at"	"239135_at"	"238125_at"	"209101_at"	"226665_at"	"218431_at"	"203279_at"	"214743_at"	"228619_x_at"	"210549_s_at"
"6"	"1555259_at"	"200801_x_at"	"212490_at"	"205464_at"	"219024_at"	"201653_at"	"226810_at"	"1554388_at"	"212436_at"	"204092_s_at"	"217763_s_at"	"226671_at"	"204894_s_at"	"203555_at"	"203725_at"	"243312_at"	"227982_at"	"230100_x_at"	"228954_at"	"215537_x_at"	"228722_at"	"213122_at"	"203428_s_at"	"224647_at"	"223294_at"	"209524_at"	"202904_s_at"	"212919_at"	"211068_x_at"	"231953_at"	"220712_at"	"203158_s_at"	"221710_x_at"	"234312_s_at"	"226955_at"	"224865_at"	"203538_at"	"201219_at"	"219448_at"	"211059_s_at"	"201452_at"	"224281_s_at"	"222691_at"	"222392_x_at"	"217039_x_at"	"203556_at"	"204253_s_at"	"212155_at"	"228612_at"	"210014_x_at"	"218540_at"	"206179_s_at"	"209949_at"	"238644_at"	"204255_s_at"	"218832_x_at"	"242663_at"	"228816_at"	"200757_s_at"	"215136_s_at"	"204568_at"	"225131_at"	"214711_at"	"1552398_a_at"	"213832_at"	"1555989_at"	"224580_at"	"204628_s_at"	"218033_s_at"	"216708_x_at"	"200924_s_at"	"230766_at"	"234983_at"	"200845_s_at"	"204660_at"	"218237_s_at"	"203217_s_at"	"203762_s_at"	"202896_s_at"
"7"	"213438_at"	"200646_s_at"	"238762_at"	"1553787_at"	"220334_at"	"221753_at"	"201029_s_at"	"216527_at"	"216652_s_at"	"238842_at"	"202686_s_at"	"1553743_at"	"232313_at"	"200052_s_at"	"203698_s_at"	"232019_at"	"203741_s_at"	"209784_s_at"	"1553668_at"	"209940_at"	"227134_at"	"214533_at"	"217507_at"	"228307_at"	"217728_at"	"235143_at"	"235470_at"	"218614_at"	"1558345_a_at"	"229623_at"	"211932_at"	"224586_x_at"	"227998_at"	"209275_s_at"	"1554462_a_at"	"218535_s_at"	"212493_s_at"	"204149_s_at"	"1568892_at"	"209049_s_at"	"208886_at"	"212246_at"	"224967_at"	"204807_at"	"216251_s_at"	"205671_s_at"	"209486_at"	"220938_s_at"	"212340_at"	"203702_s_at"	"225038_s_at"	"241925_x_at"	"218592_s_at"	"225507_at"	"221992_at"	"224009_x_at"	"244043_at"	"244377_at"	"205550_s_at"	"212603_at"	"224768_at"	"209898_x_at"	"220964_s_at"	"218610_s_at"	"201080_at"	"223126_s_at"	"221958_s_at"	"231050_at"	"203899_s_at"	"227557_at"	"200871_s_at"	"212620_at"	"217821_s_at"	"230184_at"	"1553449_at"	"207651_at"	"207655_s_at"	"204340_at"	"224619_at"
"8"	"231578_at"	"201484_at"	"242966_x_at"	"207740_s_at"	"204201_s_at"	"203141_s_at"	"204511_at"	"228972_at"	"227104_x_at"	"214281_s_at"	"234953_x_at"	"232024_at"	"208186_s_at"	"210011_s_at"	"202636_at"	"212525_s_at"	"226017_at"	"225836_s_at"	"205108_s_at"	"218866_s_at"	"203660_s_at"	"222599_s_at"	"224905_at"	"230206_at"	"227995_at"	"226545_at"	"203116_s_at"	"212750_at"	"228346_at"	"1559471_s_at"	"227951_s_at"	"227660_at"	"224702_at"	"214847_s_at"	"213337_s_at"	"205667_at"	"228391_at"	"205160_at"	"227911_at"	"218973_at"	"200613_at"	"201720_s_at"	"228618_at"	"203856_at"	"204706_at"	"1557965_at"	"223944_at"	"212292_at"	"224173_s_at"	"212170_at"	"1559502_s_at"	"218869_at"	"213699_s_at"	"209293_x_at"	"242953_at"	"226142_at"	"212050_at"	"232418_at"	"227696_at"	"225981_at"	"209106_at"	"208775_at"	"202236_s_at"	"235677_at"	"227511_at"	"227688_at"	"205352_at"	"223480_s_at"	"241386_at"	"227139_s_at"	"230194_at"	"214801_at"	"238479_at"	"228053_s_at"	"233229_at"	"219550_at"	"223907_s_at"	"234969_s_at"	"227086_at"
"9"	"240282_at"	"210570_x_at"	"219770_at"	"211865_s_at"	"235201_at"	"204278_s_at"	"217678_at"	"235611_at"	"206857_s_at"	"212640_at"	"220488_s_at"	"1554883_a_at"	"225207_at"	"224748_at"	"203290_at"	"205829_at"	"218287_s_at"	"203224_at"	"229755_x_at"	"212505_s_at"	"227319_at"	"243029_at"	"242973_at"	"211874_s_at"	"215134_at"	"226682_at"	"202055_at"	"228495_at"	"205521_at"	"1561908_a_at"	"226124_at"	"235911_at"	"36019_at"	"219147_s_at"	"202149_at"	"200977_s_at"	"238818_at"	"232342_at"	"215035_at"	"215758_x_at"	"209346_s_at"	"205457_at"	"236217_at"	"1553856_s_at"	"202252_at"	"212569_at"	"1552914_a_at"	"202745_at"	"200731_s_at"	"218525_s_at"	"201903_at"	"204567_s_at"	"203695_s_at"	"206357_at"	"1555851_s_at"	"226813_at"	"208685_x_at"	"228141_at"	"218958_at"	"208222_at"	"228897_at"	"204774_at"	"217717_s_at"	"206060_s_at"	"227783_at"	"240106_at"	"235227_at"	"216036_x_at"	"215451_s_at"	"225477_s_at"	"214054_at"	"204142_at"	"200855_at"	"225901_at"	"220639_at"	"235382_at"	"229147_at"	"226302_at"	"208801_at"
"10"	"1555751_a_at"	"241372_at"	"220330_s_at"	"211474_s_at"	"229388_at"	"208178_x_at"	"243976_at"	"225361_x_at"	"227083_at"	"232141_at"	"229746_x_at"	"238540_at"	"213341_at"	"225791_at"	"228500_at"	"233724_at"	"209384_at"	"223705_s_at"	"216109_at"	"202641_at"	"239435_x_at"	"202907_s_at"	"212192_at"	"52285_f_at"	"212934_at"	"222722_at"	"217764_s_at"	"230917_at"	"1554543_at"	"205543_at"	"217840_at"	"238477_at"	"204281_at"	"225169_at"	"1560818_at"	"1555095_at"	"223560_s_at"	"228882_at"	"225687_at"	"214251_s_at"	"220574_at"	"219344_at"	"236359_at"	"204890_s_at"	"205131_x_at"	"219116_s_at"	"211628_x_at"	"209344_at"	"224484_s_at"	"226636_at"	"52078_at"	"1555920_at"	"203303_at"	"216203_at"	"1552455_at"	"214763_at"	"221508_at"	"213668_s_at"	"228009_x_at"	"232545_at"	"209061_at"	"224761_at"	"217289_s_at"	"202651_at"	"228146_at"	"1557236_at"	"203315_at"	"224461_s_at"	"242433_at"	"213736_at"	"217794_at"	"201225_s_at"	"216438_s_at"	"202520_s_at"	"210955_at"	"41577_at"	"202070_s_at"	"209455_at"	"202022_at"
