	entrez	genesymbol	pathway	pathway desc	NCBI protein	uniprot
1	100042025	Gapdh	path:mmu00010	Glycolysis / Gluconeogenesis	XP_001476757	D2KHZ9
2	103988	Gck	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001274315	P52792
3	106557	Ldhal6b	path:mmu00010	Glycolysis / Gluconeogenesis	NP_780558	Q8BVP2
4	110695	Aldh7a1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001120810	Q9DBF1
5	11522	Adh1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_031435	P00329
6	11529	Adh7	path:mmu00010	Glycolysis / Gluconeogenesis	NP_033756	Q64437
7	11532	Adh5	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001275507	P28474
8	11670	Aldh3a1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001106196	P47739
9	11671	Aldh3a2	path:mmu00010	Glycolysis / Gluconeogenesis	NP_031463	P47740
10	100042025	Gapdh	path:mmu00010	Glycolysis / Gluconeogenesis	XP_001476757	P16858
11	11676	Aldoc	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001290352	P05063
12	12183	Bpgm	path:mmu00010	Glycolysis / Gluconeogenesis	NP_031589	P15327
13	13382	Dld	path:mmu00010	Glycolysis / Gluconeogenesis	NP_031887	O08749
14	13806	Eno1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_075608	P17182
15	13807	Eno2	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001289571	D3Z6E4
16	13808	Eno3	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001129534	P21550
17	14120	Fbp2	path:mmu00010	Glycolysis / Gluconeogenesis	NP_032020	P70695
18	14121	Fbp1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_062268	Q9QXD6
19	14377	G6pc	path:mmu00010	Glycolysis / Gluconeogenesis	NP_032087	P35576
20	103988	Gck	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001274315	Q5SVI6
21	14433	Gapdh	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001276655	A0A0A0MQF6
22	14447	Gapdhs	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001277560	S4R2G5
23	14751	Gpi	path:mmu00010	Glycolysis / Gluconeogenesis	NP_032181	P06745
24	15275	Hk1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001139572	Q3TTB4
25	15277	Hk2	path:mmu00010	Glycolysis / Gluconeogenesis	NP_038848	O08528
26	16828	Ldha	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001129541	G5E8N5
27	16832	Ldhb	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001289694	P16125
28	16833	Ldhc	path:mmu00010	Glycolysis / Gluconeogenesis	NP_038608	P00342
29	17330	Minpp1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_034929	Q9Z2L6
30	18534	Pck1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_035174	Q9Z2V4
31	18597	Pdha1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_032836	P35486
32	18598	Pdha2	path:mmu00010	Glycolysis / Gluconeogenesis	NP_032837	P35487
33	18641	Pfkl	path:mmu00010	Glycolysis / Gluconeogenesis	NP_032852	P12382
34	18642	Pfkm	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001156959	P47857
35	18648	Pgam1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_075907	Q3U7Z6
36	18655	Pgk1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_032854	P09411
37	18663	Pgk2	path:mmu00010	Glycolysis / Gluconeogenesis	NP_112467	P09041
38	18746	Pkm	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001240812	P52480
39	18770	Pklr	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001093249	E9Q509
40	212032	Hk3	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001028417	Q3TRM8
41	216019	Hkdc1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_663394	Q91W97
42	21991	Tpi1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_033441	P17751
43	230163	Aldob	path:mmu00010	Glycolysis / Gluconeogenesis	NP_659152	Q3UER1
44	235339	Dlat	path:mmu00010	Glycolysis / Gluconeogenesis	NP_663589	Q8BMF4
45	26876	Adh4	path:mmu00010	Glycolysis / Gluconeogenesis	NP_036126	Q9QYY9
46	319625	Galm	path:mmu00010	Glycolysis / Gluconeogenesis	NP_795937	Q8K157
47	353204	Aldoart1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001186199	A6ZI46
48	433182	Eno1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001020559	P17182
49	56012	Pgam2	path:mmu00010	Glycolysis / Gluconeogenesis	NP_061358	O70250
50	11522	Adh1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_031435	Q3UKA4
51	56752	Aldh9a1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_064377	Q3TMT4
52	56847	Aldh1a3	path:mmu00010	Glycolysis / Gluconeogenesis	NP_444310	Q3UIA4
53	58810	Akr1a1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_067448	Q540D7
54	60525	Acss2	path:mmu00010	Glycolysis / Gluconeogenesis	NP_062785	Q9QXG4
55	621603	Aldh3b2	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001170909	E9Q3E1
56	66681	Pgm2	path:mmu00010	Glycolysis / Gluconeogenesis	NP_079976	Q7TSV4
57	67689	Aldh3b1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_080592	Q3TX25
58	68263	Pdhb	path:mmu00010	Glycolysis / Gluconeogenesis	NP_077183	Q9D051
59	68401	G6pc3	path:mmu00010	Glycolysis / Gluconeogenesis	NP_787949	Q6NSQ9
60	11529	Adh7	path:mmu00010	Glycolysis / Gluconeogenesis	NP_033756	Q9D748
61	72141	Adpgk	path:mmu00010	Glycolysis / Gluconeogenesis	NP_082397	Q8VDL4
62	72157	Pgm2	path:mmu00010	Glycolysis / Gluconeogenesis	NP_082408	Q3U6X6
63	72535	Aldh1b1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_082546	Q9CZS1
64	73458	Aldh3b3	path:mmu00010	Glycolysis / Gluconeogenesis	NP_082821	J3QMK6
65	74551	Pck2	path:mmu00010	Glycolysis / Gluconeogenesis	NP_083270	Q8BH04
66	11670	Aldh3a1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001106196	Q3UNF5
67	104112	Acly	path:mmu00020	Citrate cycle (TCA cycle)	NP_001186225	Q3V117
68	11428	Aco1	path:mmu00020	Citrate cycle (TCA cycle)	NP_031412	P28271
69	11429	Aco2	path:mmu00020	Citrate cycle (TCA cycle)	NP_542364	Q99KI0
70	12974	Cs	path:mmu00020	Citrate cycle (TCA cycle)	NP_080720	Q9CZU6
71	13382	Dld	path:mmu00020	Citrate cycle (TCA cycle)	NP_031887	O08749
72	14194	Fh	path:mmu00020	Citrate cycle (TCA cycle)	NP_034339	P97807
73	15926	Idh1	path:mmu00020	Citrate cycle (TCA cycle)	NP_001104790	O88844
74	15929	Idh3g	path:mmu00020	Citrate cycle (TCA cycle)	NP_032349	P70404
75	170718	Idh3b	path:mmu00020	Citrate cycle (TCA cycle)	NP_570954	Q91VA7
76	17448	Mdh2	path:mmu00020	Citrate cycle (TCA cycle)	NP_032643	P08249
77	17449	Mdh1	path:mmu00020	Citrate cycle (TCA cycle)	NP_032644	P14152
78	18293	Ogdh	path:mmu00020	Citrate cycle (TCA cycle)	NP_001239211	Q60597
79	11674	Aldoa	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001170778	A6ZI44
80	11674	Aldoa	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001170778	Q5FWB7
81	18597	Pdha1	path:mmu00020	Citrate cycle (TCA cycle)	NP_032836	P35486
82	18598	Pdha2	path:mmu00020	Citrate cycle (TCA cycle)	NP_032837	P35487
83	20916	Sucla2	path:mmu00020	Citrate cycle (TCA cycle)	NP_035636	Q9Z2I9
84	20917	Suclg2	path:mmu00020	Citrate cycle (TCA cycle)	NP_035637	Q9Z2I8
85	235339	Dlat	path:mmu00020	Citrate cycle (TCA cycle)	NP_663589	Q8BMF4
86	239017	Ogdhl	path:mmu00020	Citrate cycle (TCA cycle)	NP_001074599	E9Q7L0
87	243996	4933405O20Rik	path:mmu00020	Citrate cycle (TCA cycle)	NP_766489	Q8BPC6
88	269951	Idh2	path:mmu00020	Citrate cycle (TCA cycle)	NP_766599	P54071
89	56451	Suclg1	path:mmu00020	Citrate cycle (TCA cycle)	NP_063932	Q9WUM5
90	66052	Sdhc	path:mmu00020	Citrate cycle (TCA cycle)	NP_079597	Q9CZB0
91	66925	Sdhd	path:mmu00020	Citrate cycle (TCA cycle)	NP_080124	Q9CXV1
92	66945	Sdha	path:mmu00020	Citrate cycle (TCA cycle)	NP_075770	Q8K2B3
93	67680	Sdhb	path:mmu00020	Citrate cycle (TCA cycle)	NP_075863	Q9CQA3
94	67834	Idh3a	path:mmu00020	Citrate cycle (TCA cycle)	NP_083849	Q9D6R2
95	68263	Pdhb	path:mmu00020	Citrate cycle (TCA cycle)	NP_077183	Q9D051
96	71832	Csl	path:mmu00020	Citrate cycle (TCA cycle)	NP_082221	Q80X68
97	74551	Pck2	path:mmu00020	Citrate cycle (TCA cycle)	NP_083270	Q8BH04
98	78920	Dlst	path:mmu00020	Citrate cycle (TCA cycle)	NP_084501	Q9D2G2
99	13806	EG433182	path:mmu00010	Glycolysis / Gluconeogenesis	NP_075608	Q5FW97
100	100198	H6pd	path:mmu00030	Pentose phosphate pathway	NP_001277933	Q8CFX1
101	110208	Pgd	path:mmu00030	Pentose phosphate pathway	NP_001074743	Q9DCD0
102	110639	Prps2	path:mmu00030	Pentose phosphate pathway	NP_080938	Q9CS42
103	11674	Aldoa	path:mmu00030	Pentose phosphate pathway	NP_001170778	A6ZI44
