Approved_Symbol	Entrez_ID	BIG-C_Category	Affymetrix_HGU133A	BrainArray_HGU133A	Affymetrix_HGU133A2	BrainArray_HGU133A2	Affymetrix_HGU133-Plus2	BrainArray_HGU133-Plus2	Affymetrix_HuGene1-1	BrainArray_HuGene1-1	Illumina_HWG-6v2	Illumina_HWG-6v3	Illumina_HT-12v3	Illumina_HT-12v4
A4GALT	53947	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
AAAS	8086	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
AACS	65985	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
AAK1	22848	Endocytosis	1	1	1	1	1	1	1	1	1	1	1	1
AAMDC	28971	Unknown	1	1	1	1	1	1	1	1	1	1	1	1
AAMP	14	General-Cell-Surface	1	1	1	1	1	1	1	1	1	1	1	1
AAR2	25980	mRNA-Splicing	1	1	1	1	1	1	1	1	1	1	1	1
AARS	16	mRNA-Translation	1	1	1	1	1	1	1	1	1	1	1	1
AASDHPPT	60496	Cytoplasm-and-Biochemistry	1	1	1	1	1	1	1	1	1	1	1	1
AASS	10157	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
AATF	26574	Anti-Apoptosis	1	1	1	1	1	1	1	1	1	1	1	1
AATK	9625	Pro-Apoptosis	1	1	1	1	1	1	1	1	1	1	1	1
ABAT	18	Mitochondria-General	1	1	1	1	1	1	1	1	1	1	1	1
ABCA1	19	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCA12	26154	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCA2	20	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCA3	21	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCA4	24	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCA5	23461	Endosome-and-Vesicles	1	1	1	1	1	1	1	1	1	1	1	1
ABCA6	23460	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
ABCA7	10347	Transporters	1	1	1	1	1	1	1	1	1	1	1	1
