	entrez	genesymbol	pathway	pathway desc	NCBI protein	uniprot
1	10327	AKR1A1	path:hsa00010	Glycolysis / Gluconeogenesis	NP_001189343	P14550
2	124	ADH1A	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000658	P07327
3	125	ADH1B	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000659	P00325
4	126	ADH1C	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000660	P00326
5	127	ADH4	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000661	P08319
6	128	ADH5	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000662	P11766
7	130	ADH6	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000663	P28332
8	130589	GALM	path:hsa00010	Glycolysis / Gluconeogenesis	NP_620156	Q96C23
9	131	ADH7	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000664	P40394
10	160287	LDHAL6A	path:hsa00010	Glycolysis / Gluconeogenesis	NP_001137543	Q6ZMR3
11	10327	AKR1A1	path:hsa00010	Glycolysis / Gluconeogenesis	NP_001189343	V9HWI0
12	1738	DLD	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000099	A0A024R713
13	2023	ENO1	path:hsa00010	Glycolysis / Gluconeogenesis	NP_001188412	E2DRY6
14	2026	ENO2	path:hsa00010	Glycolysis / Gluconeogenesis	NP_001966	P09104
15	2027	ENO3	path:hsa00010	Glycolysis / Gluconeogenesis	NP_001180432	P13929
16	217	ALDH2	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000681	P05091
17	218	ALDH3A1	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000682	P30838
18	219	ALDH1B1	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000683	P30837
19	220	ALDH1A3	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000684	A0A024RC95
20	2203	FBP1	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000498	P09467
21	221	ALDH3B1	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000685	A0A024R5D8
22	222	ALDH3B2	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000686	P48448
23	223	ALDH9A1	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000687	B9EKV4
24	224	ALDH3A2	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000373	P51648
25	226	ALDOA	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000025	P04075
26	229	ALDOB	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000026	A0A024R145
27	230	ALDOC	path:hsa00010	Glycolysis / Gluconeogenesis	NP_005156	A0A024QZ64
28	2538	G6PC	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000142	P35575
29	2597	GAPDH	path:hsa00010	Glycolysis / Gluconeogenesis	NP_001243728	P04406
30	26330	GAPDHS	path:hsa00010	Glycolysis / Gluconeogenesis	NP_055179	O14556
31	125	ADH1B	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000659	V9HW50
32	2821	GPI	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000166	P06744
33	3098	HK1	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000179	A8K7J7
34	3099	HK2	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000180	P52789
35	3101	HK3	path:hsa00010	Glycolysis / Gluconeogenesis	NP_002106	A0A024R7R1
36	3939	LDHA	path:hsa00010	Glycolysis / Gluconeogenesis	NP_001128711	P00338
37	3945	LDHB	path:hsa00010	Glycolysis / Gluconeogenesis	NP_001167568	P07195
38	3948	LDHC	path:hsa00010	Glycolysis / Gluconeogenesis	NP_002292	P07864
39	441531	PGAM4	path:hsa00010	Glycolysis / Gluconeogenesis	NP_001025062	Q8N0Y7
40	501	ALDH7A1	path:hsa00010	Glycolysis / Gluconeogenesis	NP_001173	P49419
41	5105	PCK1	path:hsa00010	Glycolysis / Gluconeogenesis	NP_002582	P35558
42	5106	PCK2	path:hsa00010	Glycolysis / Gluconeogenesis	NP_001018083	A0A0A0MS74
43	5160	PDHA1	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000275	A0A024RBX9
44	5161	PDHA2	path:hsa00010	Glycolysis / Gluconeogenesis	NP_005381	P29803
45	5162	PDHB	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000916	P11177
46	5211	PFKL	path:hsa00010	Glycolysis / Gluconeogenesis	NP_001002021	P17858
47	5213	PFKM	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000280	A0A024R0Y5
48	5214	PFKP	path:hsa00010	Glycolysis / Gluconeogenesis	NP_001229268	Q01813
49	5223	PGAM1	path:hsa00010	Glycolysis / Gluconeogenesis	NP_002620	P18669
50	5224	PGAM2	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000281	P15259
51	127	ADH4	path:hsa00010	Glycolysis / Gluconeogenesis	NP_000661	V9HVX7
